5.000e-01	mua, coeficiente de absorcion [1/cm]
20.0000	mus, coeficiente de esparcimiento [1/cm]
0.7500	g, anisotropia [-]
1.3800	n1, indice de refracción del tejido
1.3300	n2, indice de refracción del medio externo
2	Fuente
0.1000	radius, radio del haz plano o radio 1/e del haz Gaussiano [cm]
0.0000	waist, ancho de 1/e del foco [cm]
0.0000	xs, posicion en x de la fuente isotropica [cm]
0.0000	ys, posicion y
0.5000	zs, posicion z
45	NR
45	NZ
0.05000	dr
0.05000	dz
1.0e+06	Nfotones
0.000000e+00	Specular reflectance
9.196639e-01	Absorbed fraction
8.033609e-02	Escaping fraction
0.42500	 2.784738e-05	 2.784738e-05	 2.108544e-05	 1.615691e-05	 1.197710e-05	 7.108446e-06	 7.108446e-06	 5.326419e-06	 4.173868e-06	 3.237349e-06	 2.473732e-06	 1.465324e-06	 1.465324e-06	 9.497237e-07	 9.497237e-07	 6.993820e-07	 4.305442e-07	 4.305442e-07	 3.547540e-07	 2.598639e-07	 2.110857e-07	 1.290965e-07	 1.046690e-07	 8.542228e-08	 8.542228e-08	 6.456270e-08	 5.236456e-08	 3.059338e-08	 2.270752e-08	 2.270752e-08	 1.487077e-08	 1.487077e-08	 1.026988e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08	 3.963463e-08
0.47500	 2.883479e-05	 2.883479e-05	 2.161648e-05	 1.633141e-05	 1.223556e-05	 7.302839e-06	 7.302839e-06	 5.364978e-06	 4.184924e-06	 3.285961e-06	 2.503316e-06	 1.554491e-06	 1.554491e-06	 9.010096e-07	 9.010096e-07	 7.281943e-07	 4.445502e-07	 4.445502e-07	 3.340163e-07	 2.822823e-07	 2.139367e-07	 1.334649e-07	 1.040495e-07	 8.258485e-08	 8.258485e-08	 6.921285e-08	 5.043932e-08	 3.221173e-08	 2.682035e-08	 2.682035e-08	 1.600670e-08	 1.600670e-08	 1.068335e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08	 4.188745e-08
0.52500	 2.866236e-05	 2.866236e-05	 2.195704e-05	 1.617885e-05	 1.254475e-05	 7.320312e-06	 7.320312e-06	 5.508466e-06	 4.290594e-06	 3.321219e-06	 2.569958e-06	 1.538909e-06	 1.538909e-06	 9.325657e-07	 9.325657e-07	 7.318420e-07	 4.210010e-07	 4.210010e-07	 3.530000e-07	 2.909832e-07	 2.205113e-07	 1.383536e-07	 1.014027e-07	 8.367723e-08	 8.367723e-08	 6.109373e-08	 5.225229e-08	 3.411434e-08	 2.547029e-08	 2.547029e-08	 1.516576e-08	 1.516576e-08	 1.328083e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08	 4.145817e-08
0.57500	 2.856112e-05	 2.856112e-05	 2.123934e-05	 1.601709e-05	 1.223330e-05	 7.130276e-06	 7.130276e-06	 5.373702e-06	 4.195360e-06	 3.308240e-06	 2.552739e-06	 1.557683e-06	 1.557683e-06	 9.422105e-07	 9.422105e-07	 7.284297e-07	 4.585783e-07	 4.585783e-07	 3.528627e-07	 2.726102e-07	 2.299567e-07	 1.338547e-07	 1.057218e-07	 8.450036e-08	 8.450036e-08	 6.517175e-08	 5.609849e-08	 3.449843e-08	 2.534188e-08	 2.534188e-08	 1.520267e-08	 1.520267e-08	 1.285702e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08	 4.238041e-08
0.62500	 2.674593e-05	 2.674593e-05	 2.019767e-05	 1.536512e-05	 1.154754e-05	 6.932284e-06	 6.932284e-06	 5.389293e-06	 4.199479e-06	 3.233457e-06	 2.500291e-06	 1.525158e-06	 1.525158e-06	 9.325144e-07	 9.325144e-07	 7.495999e-07	 4.670080e-07	 4.670080e-07	 3.781266e-07	 2.821036e-07	 2.344288e-07	 1.374870e-07	 1.062365e-07	 8.643516e-08	 8.643516e-08	 6.615730e-08	 4.941747e-08	 3.135681e-08	 2.476921e-08	 2.476921e-08	 1.655079e-08	 1.655079e-08	 1.271432e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08	 4.706136e-08
0.67500	 2.537604e-05	 2.537604e-05	 1.918080e-05	 1.459560e-05	 1.117643e-05	 6.731128e-06	 6.731128e-06	 5.166633e-06	 4.019225e-06	 3.141581e-06	 2.487681e-06	 1.479952e-06	 1.479952e-06	 8.906894e-07	 8.906894e-07	 7.406169e-07	 4.524391e-07	 4.524391e-07	 3.599320e-07	 2.734858e-07	 2.099848e-07	 1.362137e-07	 1.010870e-07	 8.476268e-08	 8.476268e-08	 6.513308e-08	 4.981504e-08	 3.130737e-08	 2.455653e-08	 2.455653e-08	 1.568259e-08	 1.568259e-08	 1.342688e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08	 4.414496e-08
0.72500	 2.290294e-05	 2.290294e-05	 1.755474e-05	 1.357893e-05	 1.034770e-05	 6.385794e-06	 6.385794e-06	 4.938690e-06	 3.786345e-06	 2.966654e-06	 2.353262e-06	 1.408049e-06	 1.408049e-06	 8.910664e-07	 8.910664e-07	 7.145736e-07	 4.378917e-07	 4.378917e-07	 3.410737e-07	 2.823454e-07	 2.071360e-07	 1.336119e-07	 1.067462e-07	 7.869103e-08	 7.869103e-08	 6.418549e-08	 4.753014e-08	 3.276914e-08	 2.682282e-08	 2.682282e-08	 1.808402e-08	 1.808402e-08	 1.276139e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08	 4.393943e-08
0.77500	 2.050968e-05	 2.050968e-05	 1.564926e-05	 1.250281e-05	 9.736843e-06	 5.818749e-06	 5.818749e-06	 4.581494e-06	 3.604817e-06	 2.804621e-06	 2.183467e-06	 1.417603e-06	 1.417603e-06	 8.726829e-07	 8.726829e-07	 6.382394e-07	 4.170793e-07	 4.170793e-07	 3.220894e-07	 2.490971e-07	 2.116741e-07	 1.331720e-07	 1.028946e-07	 8.036543e-08	 8.036543e-08	 6.427768e-08	 4.822141e-08	 3.229185e-08	 2.728735e-08	 2.728735e-08	 1.867025e-08	 1.867025e-08	 1.362547e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08	 4.500560e-08
0.82500	 1.822823e-05	 1.822823e-05	 1.424350e-05	 1.098463e-05	 8.656010e-06	 5.344045e-06	 5.344045e-06	 4.201053e-06	 3.364142e-06	 2.644620e-06	 2.094271e-06	 1.288209e-06	 1.288209e-06	 8.155664e-07	 8.155664e-07	 5.949921e-07	 4.035078e-07	 4.035078e-07	 3.375138e-07	 2.547361e-07	 1.935952e-07	 1.324959e-07	 9.743809e-08	 8.108687e-08	 8.108687e-08	 6.322053e-08	 5.438758e-08	 3.247291e-08	 2.545105e-08	 2.545105e-08	 1.502288e-08	 1.502288e-08	 1.268054e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08	 4.539151e-08
0.87500	 1.572384e-05	 1.572384e-05	 1.234670e-05	 9.636824e-06	 7.757567e-06	 4.888364e-06	 4.888364e-06	 3.923607e-06	 3.055832e-06	 2.427749e-06	 1.881019e-06	 1.177314e-06	 1.177314e-06	 7.753888e-07	 7.753888e-07	 6.112119e-07	 3.690121e-07	 3.690121e-07	 2.948420e-07	 2.454788e-07	 1.853348e-07	 1.242324e-07	 9.719105e-08	 7.051623e-08	 7.051623e-08	 6.641044e-08	 5.008404e-08	 3.214783e-08	 2.629327e-08	 2.629327e-08	 1.369921e-08	 1.369921e-08	 1.232028e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08	 4.393226e-08
