 
Número de fotones = 100000.000000
Tamaño del paquete = 0.00500 [cm] 
***Parámetros del tejido*** 
Coef. de Absorcion: 35.000000
Coef. de Esparcimiento: 450.000000
Coef. de Anisotropia: 0.800000
Indice de Refracción: 1.330000
La última fila esta desbordada. Ignorarla
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
0.86207 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.86707 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.87206 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.87706 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.88206 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.88706 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.89205 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.89705 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.90205 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.90705 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.91204 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.91704 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.92204 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.92704 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.93203 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.93703 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.94203 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.94703 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.95202 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.95702 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.96202 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.96702 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.97201 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.97701 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.98201 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.98701 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.99200 	 0.000e+00 	 0.000e+00 	 0.000e+00 
0.99700 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.00200 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.00700 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.01199 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.01699 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.02199 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.02699 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.03198 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.03698 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.04198 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.04698 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.05197 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.05697 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.06197 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.06697 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.07196 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.07696 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.08196 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.08696 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.09195 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.09695 	 0.000e+00 	 0.000e+00 	 0.000e+00 
1.10195 	 0.000e+00 	 0.000e+00 	 0.000e+00 
